bus,name,base_kv,type,voltage_pu,angle_deg
2,POC2,110.0,1,0.9061172008514404,-0.19773317873477936
4,PV1LV1(100),0.6600000262260437,1,0.9968233108520508,59.7608757019043
5,PV1LV1(101),0.6600000262260437,1,0.9956140518188477,59.779998779296875
6,PV1LV1(102),0.6600000262260437,1,0.9967853426933289,59.76247024536133
7,PV1LV1(103),0.6600000262260437,1,0.9967930912971497,59.7638053894043
8,PV1LV1(104),0.6600000262260437,1,0.9968905448913574,59.76156997680664
9,PV1LV1(105),0.6600000262260437,1,0.9967608451843262,59.76191711425781
10,PV1LV1(106),0.6600000262260437,1,0.9977864027023315,59.75712203979492
11,PV1LV1(107),0.6600000262260437,1,0.9977599382400513,59.75772476196289
12,PV1LV1(108),0.6600000262260437,1,0.9978190660476685,59.75638198852539
13,PV1LV1(109),0.6600000262260437,1,0.997176468372345,59.70273971557617
15,PV1LV1(110),0.6600000262260437,1,0.9977969527244568,59.756893157958984
16,PV1LV1(111),0.6600000262260437,1,0.9975754618644714,59.75660705566406
17,PV1LV1(112),0.6600000262260437,1,0.9977177977561951,59.75870132446289
18,PV1LV1(113),0.6600000262260437,1,0.99715656042099,59.70320510864258
19,PV1LV1(114),0.6600000262260437,1,0.9971588850021362,59.703147888183594
20,PV1LV1(115),0.6600000262260437,1,0.9970970153808594,59.70205307006836
21,PV1LV1(116),0.6600000262260437,1,0.9972015023231506,59.70216369628906
22,PV1LV1(117),0.6600000262260437,1,0.9971407651901245,59.70357894897461
23,PV1LV1(118),0.6600000262260437,1,0.997182309627533,59.7005500793457
24,PV1LV1(119),0.6600000262260437,1,0.9972293376922607,59.70261001586914
26,PV1LV1(120),0.6600000262260437,1,0.9971948266029358,59.703426361083984
27,PV1LV1(121),0.6600000262260437,1,0.9960389137268066,59.760337829589844
28,PV1LV1(122),0.6600000262260437,1,0.997217059135437,59.702911376953125
29,PV1LV1(123),0.6600000262260437,1,0.9959335327148438,59.761539459228516
30,PV1LV1(124),0.6600000262260437,1,0.9959819316864014,59.76164627075195
85,PV1LV1(65),0.6600000262260437,1,0.9967500567436218,59.76240539550781
86,PV1LV1(66),0.6600000262260437,1,0.9968451261520386,59.7634162902832
87,PV1LV1(67),0.6600000262260437,1,0.9968101978302002,59.763397216796875
88,PV1LV1(68),0.6600000262260437,1,0.9967775940895081,59.76149368286133
89,PV1LV1(69),0.6600000262260437,1,1.0083805322647095,59.774658203125
91,PV1LV1(70),0.6600000262260437,1,1.0082958936691284,59.77456283569336
92,PV1LV1(71),0.6600000262260437,1,1.0083547830581665,59.77528381347656
93,PV1LV1(72),0.6600000262260437,1,1.0083476305007935,59.77548599243164
94,PV1LV1(73),0.6600000262260437,1,1.008347749710083,59.77548599243164
95,PV1LV1(74),0.6600000262260437,1,1.0084480047225952,59.77510070800781
96,PV1LV1(75),0.6600000262260437,1,1.0084360837936401,59.775390625
97,PV1LV1(76),0.6600000262260437,1,1.0084565877914429,59.77484893798828
98,PV1LV1(77),0.6600000262260437,1,1.008452296257019,59.77491760253906
99,PV1LV1(78),0.6600000262260437,1,1.008416771888733,59.774688720703125
100,PV1LV1(79),0.6600000262260437,1,1.0084103345870972,59.77436447143555
102,PV1LV1(80),0.6600000262260437,1,1.0083903074264526,59.774444580078125
103,PV1LV1(81),0.6600000262260437,1,0.9946916699409485,59.776214599609375
104,PV1LV1(82),0.6600000262260437,1,0.9959972500801086,59.76131820678711
105,PV1LV1(83),0.6600000262260437,1,0.9959707260131836,59.76191711425781
106,PV1LV1(84),0.6600000262260437,1,0.9947021007537842,59.775936126708984
107,PV1LV1(85),0.6600000262260437,1,0.9946863651275635,59.776371002197266
108,PV1LV1(86),0.6600000262260437,1,0.9959580302238464,59.75953674316406
109,PV1LV1(87),0.6600000262260437,1,0.9972373247146606,59.70238494873047
110,PV1LV1(88),0.6600000262260437,1,0.9971819519996643,59.703739166259766
111,PV1LV1(89),0.6600000262260437,1,0.9946929216384888,59.776180267333984
113,PV1LV1(90),0.6600000262260437,1,0.9946684241294861,59.77535629272461
114,PV1LV1(91),0.6600000262260437,1,0.9955556988716125,59.779808044433594
115,PV1LV1(92),0.6600000262260437,1,0.9956308603286743,59.77959442138672
116,PV1LV1(93),0.6600000262260437,1,0.9955841898918152,59.7807731628418
117,PV1LV1(94),0.6600000262260437,1,0.9955955147743225,59.78048324584961
118,PV1LV1(95),0.6600000262260437,1,0.995625913143158,59.77974319458008
119,PV1LV1(96),0.6600000262260437,1,0.9968305826187134,59.76373291015625
120,PV1LV1(97),0.6600000262260437,1,0.9969460368156433,59.7611083984375
121,PV1LV1(98),0.6600000262260437,1,0.9967923760414124,59.76216506958008
122,PV1LV1(99),0.6600000262260437,1,0.9946728348731995,59.77492904663086
124,PV1LV2(100),0.6600000262260437,1,0.9956140518188477,59.779998779296875
125,PV1LV2(101),0.6600000262260437,1,0.995625913143158,59.77974319458008
126,PV1LV2(102),0.6600000262260437,1,0.9968451261520386,59.7634162902832
127,PV1LV2(103),0.6600000262260437,1,0.9968905448913574,59.76156997680664
128,PV1LV2(104),0.6600000262260437,1,0.9968305826187134,59.76373291015625
129,PV1LV2(105),0.6600000262260437,1,0.9967853426933289,59.76247024536133
130,PV1LV2(106),0.6600000262260437,1,0.9969460368156433,59.7611083984375
131,PV1LV2(107),0.6600000262260437,1,0.9946684241294861,59.77535629272461
132,PV1LV2(108),0.6600000262260437,1,0.9977599382400513,59.75772476196289
133,PV1LV2(109),0.6600000262260437,1,0.99715656042099,59.70320510864258
135,PV1LV2(110),0.6600000262260437,1,0.9977177977561951,59.75870132446289
136,PV1LV2(111),0.6600000262260437,1,0.9977969527244568,59.756893157958984
137,PV1LV2(112),0.6600000262260437,1,0.9978190660476685,59.75638198852539
138,PV1LV2(113),0.6600000262260437,1,0.9977864027023315,59.75712203979492
139,PV1LV2(114),0.6600000262260437,1,0.9975754618644714,59.75660705566406
140,PV1LV2(115),0.6600000262260437,1,0.997176468372345,59.70273971557617
141,PV1LV2(116),0.6600000262260437,1,0.9971407651901245,59.70357894897461
142,PV1LV2(117),0.6600000262260437,1,0.9971588850021362,59.703147888183594
143,PV1LV2(118),0.6600000262260437,1,0.9970970153808594,59.70205307006836
144,PV1LV2(119),0.6600000262260437,1,0.9972293376922607,59.70261001586914
146,PV1LV2(120),0.6600000262260437,1,0.997182309627533,59.7005500793457
147,PV1LV2(121),0.6600000262260437,1,0.9972015023231506,59.70216369628906
148,PV1LV2(122),0.6600000262260437,1,0.997217059135437,59.702911376953125
149,PV1LV2(123),0.6600000262260437,1,0.9959972500801086,59.76131820678711
150,PV1LV2(124),0.6600000262260437,1,0.9960389137268066,59.760337829589844
205,PV1LV2(65),0.6600000262260437,1,0.9968233108520508,59.7608757019043
206,PV1LV2(66),0.6600000262260437,1,0.9968101978302002,59.763397216796875
