time,POC2_V,POC2_0_V,DUMMY_110_V,POC_P_2001_2,POC_Q_2001_2,GEN_P_2000,GEN_Q_2000,GEN_SPEED_2000,FREQ_2
-0.0020000000949949026,0.9061173796653748,0.9000000357627869,0.9060960412025452,5.116294860839844,-19.284671783447266,0.051678359508514404,-0.16875000298023224,0.0,0.0
-0.0010000000474974513,0.9061174392700195,0.9000000357627869,0.9060961008071899,5.1209397315979,-19.284822463989258,0.05168287828564644,-0.16875000298023224,0.0,-3.283174621060425e-08
0.0,0.9061174392700195,0.9000000357627869,0.9060961008071899,5.124191761016846,-19.28492546081543,0.05168604105710983,-0.16875000298023224,0.0,-4.131463882117714e-08
0.0010000000474974513,0.9061174392700195,0.9000000357627869,0.9060961008071899,5.126467227935791,-19.284997940063477,0.05168825387954712,-0.16875000298023224,0.0,-4.670825148878066e-08
0.0020000000949949026,0.9061174392700195,0.9000000357627869,0.9060961604118347,5.128060817718506,-19.285049438476562,0.05168980360031128,-0.16875000298023224,0.0,-4.993902180672194e-08
0.003000000026077032,0.9061174392700195,0.9000000357627869,0.9060961604118347,5.129176139831543,-19.285083770751953,0.05169089138507843,-0.16875000298023224,0.0,-5.168326566717951e-08
0.004000000189989805,0.9061174392700195,0.9000000357627869,0.9060961604118347,5.1299567222595215,-19.28510856628418,0.05169164761900902,-0.16875000298023224,0.0,-5.2411721185308124e-08
0.005000000353902578,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.130503177642822,-19.285127639770508,0.0516921766102314,-0.16875000298023224,0.0,-5.243278522470973e-08
0.0060000005178153515,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.130885124206543,-19.285139083862305,0.05169254541397095,-0.16875000298023224,0.0,-5.1952959267964616e-08
0.007000000681728125,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.1311516761779785,-19.285146713256836,0.05169280245900154,-0.16875000298023224,0.0,-5.1172548864997225e-08
0.00800000037997961,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.131338119506836,-19.285152435302734,0.05169297009706497,-0.16875000298023224,0.0,-5.0137629159507924e-08
0.009000000543892384,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.131467819213867,-19.285158157348633,0.05169307813048363,-0.16875000298023224,0.0,-4.8985533851464425e-08
0.010000000707805157,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.131556987762451,-19.285160064697266,0.0516931414604187,-0.16875000298023224,0.0,-4.771977657469506e-08
0.01100000087171793,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.131617069244385,-19.2851619720459,0.05169316753745079,-0.16875000298023224,0.0,-4.6399350139836315e-08
0.012000001035630703,0.9061174988746643,0.9000000357627869,0.9060961604118347,5.131657600402832,-19.28516387939453,0.05169316381216049,-0.16875000298023224,0.0,-4.502589945332147e-08
