bus1,bus2,bus3,id,status,rating_w1_RATEA,rating_w2_RATEA,rating_w3_RATEA,w1_P_MW,w1_Q_Mvar,w1_MVA,w2_P_MW,w2_Q_Mvar,w2_MVA,w3_P_MW,w3_Q_Mvar,w3_MVA,name,flow_source
713,4,205,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV5-1,not_available
668,5,124,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-3A-PV2-1,not_available
705,6,129,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV1-1,not_available
698,7,211,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV4-1,not_available
700,8,127,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV5-1,not_available
702,9,242,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV6-1,not_available
618,10,138,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV3-1,not_available
620,11,132,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV4-1,not_available
614,12,137,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV1-1,not_available
629,13,140,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV2-1,not_available
616,15,136,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV2-1,not_available
622,16,139,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV5-1,not_available
624,17,135,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1A-PV6-1,not_available
631,18,133,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV3-1,not_available
635,19,142,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV5-1,not_available
633,20,143,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV4-1,not_available
627,21,147,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV1-1,not_available
637,22,141,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-1B-PV6-1,not_available
642,23,146,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV2-1,not_available
644,24,144,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV3-1,not_available
648,26,225,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV5-1,not_available
655,27,150,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV2-1,not_available
646,28,148,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2A-PV4-1,not_available
661,29,234,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV5-1,not_available
659,30,229,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-2B-PV4-1,not_available
694,85,207,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV2-1,not_available
707,86,126,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4B-PV2-1,not_available
696,87,206,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV3-1,not_available
692,88,208,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-4A-PV1-1,not_available
737,89,216,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV4-1,not_available
741,91,219,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV6-1,not_available
731,92,217,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV1-1,not_available
733,93,215,1,1,8.869999885559082,4.429999828338623,4.429999828338623,,,,,,,,,,SS2-5B-PV2-1,not_available
