from_bus,to_bus,circuit_id,status,P_MW,Q_Mvar,loading_percent,RATEA,RATEB,RATEC,R,X,B,flow_source
2,762,1,1,0.8211538320135224,-4.761662507434608,1.4636057400072522,330.1400146484375,330.1400146484375,330.1400146484375,0.0004687629989348352,0.004545319825410843,0.0009299999801442027,computed_from_saved_bus_solution_line_equivalent
2,768,1,1,0.6532296764552231,-1.8926231247871999,0.6064643929693557,330.1400146484375,330.1400146484375,330.1400146484375,0.0004687629989348352,0.004545319825410843,0.0009299999801442027,computed_from_saved_bus_solution_line_equivalent
2,773,1,1,1.5541531503934707,-4.475046109301368,1.434918036222892,330.1400146484375,330.1400146484375,330.1400146484375,0.00046964598004706204,0.004553880076855421,0.0009299999801442027,computed_from_saved_bus_solution_line_equivalent
2,776,1,1,0.5472478298147643,-2.5721425412382315,0.7965451656717871,330.1400146484375,330.1400146484375,330.1400146484375,0.00046964598004706204,0.004553880076855421,0.0009299999801442027,computed_from_saved_bus_solution_line_equivalent
2,785,1,1,1.5553038811242255,-5.579201880585782,1.754386219008468,330.1400146484375,330.1400146484375,330.1400146484375,0.00046758601092733443,0.004533899948000908,0.0009299999801442027,computed_from_saved_bus_solution_line_equivalent
613,783,1,1,-0.30131254949123837,3.160204952357489,1.8522268030983737,172.6199951171875,172.6199951171875,172.6199951171875,4.306700066081248e-05,0.00011845699918922037,0.0002300000051036477,computed_from_saved_bus_solution_line_equivalent
613,614,1,1,0.017499880839293765,-0.6784084872829236,1.924111567791953,35.27000045776367,35.27000045776367,35.27000045776367,0.020258700475096703,0.055722299963235855,0.006779999937862158,computed_from_saved_bus_solution_line_equivalent
613,616,1,1,0.017519186716109022,-0.6375064374958724,1.8081857227633016,35.27000045776367,35.27000045776367,35.27000045776367,0.018695397302508354,0.051422301679849625,0.006260000169277191,computed_from_saved_bus_solution_line_equivalent
613,618,1,1,0.01752237341677539,-0.6166115220181577,1.7489663514917664,35.27000045776367,35.27000045776367,35.27000045776367,0.01841549761593342,0.05065229907631874,0.0061599998734891415,computed_from_saved_bus_solution_line_equivalent
613,620,1,1,0.017526228053082883,-0.5619286169005832,1.5939944984895322,35.27000045776367,35.27000045776367,35.27000045776367,0.016770299524068832,0.04612730070948601,0.005609999876469374,computed_from_saved_bus_solution_line_equivalent
613,622,1,1,0.19904864466484162,-0.1950427293856199,1.062403049837374,35.27000045776367,35.27000045776367,35.27000045776367,0.015405099838972092,0.0423722006380558,0.005150000099092722,computed_from_saved_bus_solution_line_equivalent
613,624,1,1,0.01751569107816891,-0.4613201978131294,1.3089101087901138,35.27000045776367,35.27000045776367,35.27000045776367,0.013734099455177784,0.037776000797748566,0.004600000102072954,computed_from_saved_bus_solution_line_equivalent
613,730,1,0,-1236.0393627576714,-3158.5469019424245,1985.9480075274198,172.6199951171875,172.6199951171875,172.6199951171875,0.00010766799823613837,0.0002961430000141263,0.0005799999926239252,computed_from_saved_bus_solution_line_equivalent
613,800,1,1,0.00010494745148238466,-0.029529024669750575,0.06843385890816074,43.150001525878906,43.150001525878906,43.150001525878906,0.0008613410172984004,0.0023691500537097454,0.0002899999963119626,computed_from_saved_bus_solution_line_equivalent
614,615,1,1,0.009443451881465458,-0.01854253796923704,0.10709603599734902,19.43000030517578,19.43000030517578,19.43000030517578,0.0038181799463927746,0.00390909006819129,0.00033999999868683517,computed_from_saved_bus_solution_line_equivalent
